time_counter,longitude,latitude,altitude,unit_id,min_consecutive_size
0,121.51033782958984,25.046144485473633,100.0,1,50
1,121.51033782958984,25.046144485473633,100.0,1,50
2,121.51033782958984,25.046144485473633,100.0,1,50
3,121.51033782958984,25.046144485473633,100.0,1,50
4,121.51033782958984,25.046144485473633,100.0,1,50
5,121.51033782958984,25.046144485473633,100.0,1,50
6,121.51033782958984,25.046144485473633,100.0,1,50
7,121.51033782958984,25.046144485473633,100.0,1,50
8,121.51033782958984,25.046144485473633,100.0,1,50
9,121.51033782958984,25.046144485473633,100.0,1,50
10,121.51033782958984,25.046144485473633,100.0,1,50
11,121.51033782958984,25.046144485473633,100.0,1,50
12,121.51033782958984,25.046144485473633,100.0,1,50
13,121.51033782958984,25.046144485473633,100.0,1,50
14,121.51033782958984,25.046144485473633,100.0,1,50
15,121.51033782958984,25.046144485473633,100.0,1,50
16,121.51033782958984,25.046144485473633,100.0,1,50
17,121.51033782958984,25.046144485473633,100.0,1,50
18,121.51033782958984,25.046144485473633,100.0,1,50
19,121.51033782958984,25.046144485473633,100.0,1,50
20,121.51033782958984,25.046144485473633,100.0,1,50
21,121.51033782958984,25.046144485473633,100.0,1,50
22,121.51033782958984,25.046144485473633,100.0,1,50
23,121.51033782958984,25.046144485473633,100.0,1,50
24,121.51033782958984,25.046144485473633,100.0,1,50
25,121.51033782958984,25.046144485473633,100.0,1,50
26,121.51033782958984,25.046144485473633,100.0,1,50
27,121.51033782958984,25.046144485473633,100.0,1,50
28,121.51033782958984,25.046144485473633,100.0,1,50
29,121.51033782958984,25.046144485473633,100.0,1,50
30,121.51033782958984,25.046144485473633,100.0,1,50
31,121.51033782958984,25.046144485473633,100.0,1,50
32,121.51033782958984,25.046144485473633,100.0,1,50
33,121.51033782958984,25.046144485473633,100.0,1,50
34,121.51033782958984,25.046144485473633,100.0,1,50
35,121.51033782958984,25.046144485473633,100.0,1,50
36,121.51033782958984,25.046144485473633,100.0,1,50
37,121.51033782958984,25.046144485473633,100.0,1,50
38,121.51033782958984,25.046144485473633,100.0,1,50
39,121.51033782958984,25.046144485473633,100.0,1,50
40,121.51033782958984,25.046144485473633,100.0,1,50
41,121.51033782958984,25.046144485473633,100.0,1,50
42,121.51033782958984,25.046144485473633,100.0,1,50
43,121.51033782958984,25.046144485473633,100.0,1,50
44,121.51033782958984,25.046144485473633,100.0,1,50
45,121.51033782958984,25.046144485473633,100.0,1,50
46,121.51033782958984,25.046144485473633,100.0,1,50
47,121.51033782958984,25.046144485473633,100.0,1,50
48,121.51033782958984,25.046144485473633,100.0,1,50
49,121.51033782958984,25.046144485473633,100.0,1,50
0,121.5136947631836,25.04018783569336,29.456829071044922,17,50
1,121.5136947631836,25.04018783569336,29.456829071044922,17,50
2,121.5136947631836,25.04018783569336,29.456829071044922,17,50
3,121.5136947631836,25.04018783569336,29.456829071044922,17,50
4,121.5136947631836,25.04018783569336,29.456829071044922,17,50
5,121.5136947631836,25.04018783569336,29.456829071044922,17,50
6,121.5136947631836,25.04018783569336,29.456829071044922,17,50
7,121.5136947631836,25.04018783569336,29.456829071044922,17,50
8,121.5136947631836,25.04018783569336,29.456829071044922,17,50
9,121.5136947631836,25.04018783569336,29.456829071044922,17,50
10,121.5136947631836,25.04018783569336,29.456829071044922,17,50
11,121.5136947631836,25.04018783569336,29.456829071044922,17,50
12,121.5136947631836,25.04018783569336,29.456829071044922,17,50
13,121.5136947631836,25.04018783569336,29.456829071044922,17,50
14,121.5136947631836,25.04018783569336,29.456829071044922,17,50
15,121.5136947631836,25.04018783569336,29.456829071044922,17,50
16,121.5136947631836,25.04018783569336,29.456829071044922,17,50
17,121.5136947631836,25.04018783569336,29.456829071044922,17,50
